name,type,lineno,args_count,complexity,docstring_len,decorators_count
pdm_build_initialize,function,9,1,7,0,0
main,function,26,0,18,0,0
callback,function,20,0,1,0,1
generate_readme_content,function,25,0,2,0,0
generate_readme,function,44,0,1,45,1
verify_readme,function,55,0,2,43,1
live,function,72,1,2,237,1
build,function,90,0,1,15,1
serve,function,100,0,1,203,1
generate_docs_src_versions_for_file,function,122,1,3,0,1
generate_renamed_section_items,function,9,1,6,0,0
on_nav,function,34,1,1,0,0
test_split_annotations_from_typer_annotations_simple,function,17,0,3,0,0
test_forbid_default_value_in_annotated_argument,function,27,0,3,0,0
cmd,function,33,1,1,0,1
test_allow_options_to_have_names,function,44,0,3,0,0
cmd,function,48,1,1,0,1
test_forbid_annotated_param_and_default_param,function,63,2,3,0,1
cmd,function,67,1,1,0,1
test_forbid_multiple_typer_params_in_annotated,function,79,0,3,0,0
cmd,function,83,1,1,0,1
test_allow_multiple_non_typer_params_in_annotated,function,93,0,3,0,0
cmd,function,97,1,1,0,1
test_forbid_default_factory_and_default_value_in_annotated,function,113,2,3,0,1
make_string,function,114,0,1,0,0
cmd,function,120,1,1,0,1
test_allow_default_factory_with_default_param,function,140,1,3,0,1
make_string,function,141,0,1,0,0
cmd,function,147,1,1,0,1
test_forbid_default_and_default_factory_with_default_param,function,162,2,3,0,1
make_string,function,163,0,1,0,0
cmd,function,169,1,1,0,1
test_error_rendering,function,231,2,2,0,1
test_annotated_argument_with_default,function,13,0,5,0,0
cmd,function,17,1,1,0,1
test_annotated_argument_in_string_type_with_default,function,30,0,5,0,1
cmd,function,34,1,1,0,1
test_annotated_argument_with_default_factory,function,46,0,5,0,0
make_string,function,49,0,1,0,0
cmd,function,53,1,1,0,1
test_annotated_option_with_argname_doesnt_mutate_multiple_calls,function,65,0,6,0,0
cmd,function,69,1,2,0,1
test_annotated_custom_path,function,84,0,4,0,0
custom_parser,function,94,1,2,0,1
test_warns_when_callback_is_not_supported,function,8,0,3,0,0
callback,function,14,0,1,27,1
test_warns_when_callback_is_not_supported_added_after_add_typer,function,28,0,3,0,0
callback,function,35,0,1,27,1
test_hidden_option,function,10,0,7,0,0
test_hidden_option_no_rich,function,20,1,7,0,0
test_coverage_call,function,32,0,3,0,0
test_deprecation,function,10,0,2,0,0
add_command,function,13,0,1,0,0
cmd,function,15,1,1,0,1
test_eoferror,function,10,0,2,0,0
main,function,15,0,1,0,1
test_keyboardinterrupt,function,22,0,3,0,0
main,function,27,0,1,0,1
test_oserror,function,35,0,2,0,0
main,function,40,0,1,0,1
test_oserror_no_epipe,function,49,0,2,0,0
main,function,54,0,1,0,1
test_annotated,function,11,0,6,0,0
cmd,function,15,1,2,0,1
test_launch_url_unix,function,18,2,2,0,1
test_launch_url_windows,function,31,0,2,0,0
test_launch_url_no_xdg_open,function,41,0,2,0,0
test_calls_original_launch_when_not_passing_urls,function,52,0,2,0,0
test_help_from_info,function,24,0,2,0,0
test_defaults_from_info,function,30,0,2,0,0
test_too_many_parsers,function,36,0,2,0,0
custom_parser,function,37,1,1,0,0
convert,function,43,4,1,0,0
test_valid_parser_permutations,function,60,0,1,0,0
custom_parser,function,61,1,1,0,0
convert,function,67,4,1,0,0
test_install_invalid_shell,function,81,0,4,0,1
main,function,85,0,1,0,1
test_callback_too_many_parameters,function,97,0,3,0,0
name_callback,function,100,4,1,0,0
main,function,104,1,1,0,1
test_callback_2_untyped_parameters,function,114,0,3,0,0
name_callback,function,117,2,1,0,0
main,function,122,1,1,0,1
test_callback_3_untyped_parameters,function,130,0,4,0,0
name_callback,function,133,3,1,0,0
main,function,139,1,1,0,1
test_callback_4_list_none,function,148,0,6,0,0
names_callback,function,151,3,3,0,0
main,function,157,1,2,0,1
test_empty_list_default_generator,function,174,0,2,0,0
empty_list,function,175,0,1,0,0
main,function,181,1,1,0,1
test_completion_argument,function,190,0,6,0,0
test_completion_untyped_parameters,function,209,0,7,0,0
test_completion_untyped_parameters_different_order_correct_names,function,235,0,7,0,0
test_autocompletion_too_many_parameters,function,261,0,3,0,0
name_callback,function,264,4,1,0,0
main,function,268,1,1,0,1
test_forward_references,function,276,0,3,0,0
main,function,280,5,1,0,1
test_context_settings_inheritance_single_command,function,297,0,2,0,0
main,function,301,1,1,0,1
test_split_opt,function,308,0,9,0,0
test_options_metadata_typer_default,function,326,0,3,0,0
c1,function,330,0,1,0,1
c2,function,334,0,1,0,1
test_default_with_class_with_custom_eq,function,7,0,7,0,0
__init__,function,13,2,1,0,0
__eq__,function,16,2,3,0,0
__ne__,function,24,2,1,0,0
cmd,function,28,1,1,0,1
test_custom_prog_name,function,6,0,2,0,0
test_rich_not_imported_unnecessary,function,8,0,4,0,0
test_rich_markup_mode_none,function,10,0,6,0,0
main,function,14,1,1,13,1
test_rich_markup_mode_rich,function,28,0,5,0,0
main,function,32,1,1,13,1
test_markup_mode_newline_pr815,function,60,2,10,0,1
main,function,64,1,1,34,1
test_markup_mode_newline_issue447,function,98,2,10,0,1
main,function,102,1,1,32,1
test_markup_mode_newline_mixed,function,171,2,11,0,1
main,function,175,1,1,58,1
test_markup_mode_bullets_single_newline,function,215,2,10,0,1
main,function,219,1,1,23,1
test_markup_mode_bullets_double_newline,function,258,2,10,0,1
main,function,262,1,1,25,1
test_markup_mode_default,function,288,0,2,0,0
test_rich_utils_click_rewrapp,function,10,0,6,0,0
main,function,14,0,1,32,1
secondary,function,24,0,1,37,1
test_rich_help_no_commands,function,43,0,3,92,0
main,function,48,0,1,0,1
test_rich_doesnt_print_None_default,function,57,0,9,0,0
main,function,61,3,1,0,1
test_rich_markup_import_regression,function,86,0,5,0,0
main,function,96,1,1,0,1
test_typo_suggestion_enabled,function,7,0,4,44,0
create,function,12,0,1,0,1
delete,function,16,0,1,0,1
test_typo_suggestion_multiple_matches,function,25,0,6,78,0
create,function,30,0,1,0,1
createnew,function,34,0,1,0,1
test_typo_suggestion_no_matches,function,44,0,4,66,0
create,function,49,0,1,0,1
delete,function,53,0,1,0,1
test_typo_suggestion_exact_match_works,function,62,0,5,43,0
create,function,67,0,1,0,1
delete,function,71,0,1,0,1
test_typo_suggestion_disabled,function,83,0,4,53,0
create,function,88,0,1,0,1
delete,function,92,0,1,0,1
test_traceback_no_rich,function,7,0,5,0,0
test_traceback_no_rich_short_disable,function,26,0,5,0,0
test_unmodified_traceback,function,45,0,6,0,0
hello,function,15,1,1,0,1
test_enum_choice,function,22,0,7,0,0
test_optional,function,15,0,6,0,0
opt,function,19,1,2,0,1
test_union_type_optional,function,35,0,6,0,1
opt,function,39,1,2,0,1
test_optional_tuple,function,54,0,6,0,0
opt,function,58,1,2,0,1
test_no_type,function,73,0,3,0,0
no_type,function,77,1,1,0,1
test_list_parameters_convert_to_lists,function,95,1,5,0,1
list_conversion,function,102,1,4,0,1
test_tuple_parameter_elements_are_converted_recursively,function,121,1,5,0,1
tuple_recursive_conversion,function,128,1,4,0,1
test_custom_parse,function,137,0,3,0,0
custom_parser,function,141,1,2,0,1
test_custom_click_type,function,150,0,3,0,0
convert,function,154,4,1,0,0
custom_click_type,function,165,1,2,0,1
strip_double_spaces,function,27,1,1,0,0
normalize_rich_output,function,31,3,2,65,0
__init__,function,24,1,1,0,0
maybe_update_state,function,34,1,7,0,0
list_commands,function,56,2,1,0,0
get_command,function,60,3,1,0,0
invoke,function,64,2,1,0,0
maybe_add_run,function,68,2,1,0,0
get_typer_from_module,function,73,1,14,0,0
get_typer_from_state,function,121,0,5,0,0
maybe_add_run_to_cli,function,140,1,6,0,0
print_version,function,153,3,3,0,0
callback,function,161,1,1,193,1
get_docs_for_click,function,186,0,29,0,0
_parse_html,function,270,2,2,0,0
docs,function,279,4,7,39,1
main,function,316,0,1,0,0
get_completion_inspect_parameters,function,18,0,3,0,0
install_callback,function,31,3,4,0,0
show_callback,function,43,3,7,0,0
_install_completion_placeholder_function,function,65,2,1,0,0
_install_completion_no_auto_placeholder_function,function,84,2,1,0,0
shell_complete,function,106,5,5,0,0
_split_opt,function,41,1,3,0,0
_typer_param_setup_autocompletion_compat,function,50,1,7,0,0
compat_autocompletion,function,69,3,5,0,0
_get_default_string,function,91,1,15,0,0
_extract_default_help_str,function,140,1,1,0,0
_main,function,158,1,21,0,0
__init__,function,253,1,1,0,0
_get_default_string,function,307,1,1,0,0
_extract_default_help_str,function,321,1,1,0,0
get_help_record,function,326,2,17,0,0
make_metavar,function,382,2,9,0,0
value_is_missing,function,409,2,1,0,0
__init__,function,414,1,1,0,0
_get_default_string,function,483,1,1,0,0
_extract_default_help_str,function,497,1,1,0,0
make_metavar,function,502,2,2,0,0
get_help_record,function,510,2,27,0,0
_write_opts,function,519,1,4,0,0
value_is_missing,function,605,2,1,0,0
_value_is_missing,function,609,2,5,0,0
_typer_format_options,function,623,1,9,0,0
_typer_main_shell_completion,function,644,1,3,0,0
__init__,function,666,2,1,0,0
format_options,function,702,3,1,0,0
_main_shell_completion,function,707,4,1,0,0
main,function,717,6,1,0,0
format_help,function,737,3,6,0,0
__init__,function,754,1,1,0,0
format_options,function,772,3,1,0,0
_main_shell_completion,function,778,4,1,0,0
resolve_command,function,788,3,7,0,0
main,function,805,6,1,0,0
format_help,function,825,3,3,0,0
list_commands,function,836,2,2,164,0
except_hook,function,58,3,10,0,0
get_install_completion_arguments,function,109,0,1,0,0
__init__,function,117,1,1,0,0
callback,function,175,1,2,0,0
decorator,function,196,1,2,0,0
command,function,221,2,3,0,0
decorator,function,241,1,2,0,0
add_typer,function,266,2,2,0,0
__call__,function,315,1,3,0,0
_info_val_str,function,338,2,2,0,0
get_group,function,345,1,1,0,0
get_command,function,355,1,11,0,0
solve_typer_info_help,function,393,1,18,0,0
solve_typer_info_defaults,function,438,1,7,0,0
get_group_from_info,function,473,1,11,0,0
get_command_name,function,551,1,1,0,0
get_params_convertors_ctx_param_name_from_function,function,555,1,5,0,0
get_command_from_info,function,574,1,5,0,0
determine_type_convertor,function,619,1,3,0,0
param_path_convertor,function,628,1,2,0,0
generate_enum_convertor,function,636,1,4,0,0
convertor,function,639,1,3,0,0
generate_list_convertor,function,649,2,5,0,0
internal_convertor,function,652,1,5,0,0
generate_tuple_convertor,function,660,1,4,0,0
internal_convertor,function,665,1,3,0,0
get_callback,function,678,0,9,0,0
wrapper,function,697,0,4,0,0
get_click_type,function,712,0,30,0,0
lenient_issubclass,function,815,2,2,0,0
get_click_param,function,821,1,25,0,0
get_param_callback,function,984,0,15,0,0
wrapper,function,1018,3,5,0,0
get_param_completion,function,1036,1,18,0,0
wrapper,function,1075,3,4,0,0
run,function,1089,1,1,0,0
_is_macos,function,1095,0,1,0,0
_is_linux_or_bsd,function,1099,0,2,0,0
launch,function,1106,3,6,1319,0
__init__,function,60,2,1,0,0
__bool__,function,63,1,1,0,0
Default,function,72,1,1,152,0
__init__,function,83,2,1,0,0
__init__,function,118,2,1,0,0
__init__,function,163,1,3,0,0
__init__,function,272,1,3,0,0
__init__,function,401,1,1,0,0
__init__,function,508,1,1,0,0
__init__,function,521,1,1,0,0
shell_complete,function,535,4,1,102,0
Option,function,13,1,1,0,1
Option,function,79,1,1,0,1
Option,function,143,1,1,0,0
Argument,function,265,1,1,0,1
Argument,function,322,1,1,0,1
Argument,function,377,1,1,0,0
_get_rich_console,function,127,1,1,0,0
_make_rich_text,function,148,0,3,187,0
_get_help_text,function,167,0,6,241,1
_get_parameter_help,function,214,0,19,253,0
_make_command_help,function,303,0,4,349,0
_print_options_panel,function,330,0,22,0,0
_print_commands_panel,function,458,0,10,0,0
rich_format_help,function,534,0,24,329,0
rich_format_error,function,676,1,5,191,0
rich_abort_error,function,709,0,1,35,0
escape_before_html_export,function,715,1,1,57,0
rich_to_html,function,720,1,1,180,0
rich_render_text,function,733,1,2,54,0
get_traceback,function,739,3,1,0,0
invoke,function,11,7,1,0,0
_param_type_to_user_string,function,10,1,3,0,0
__init__,function,26,3,1,0,0
__str__,function,30,1,1,0,0
__init__,function,43,4,1,0,0
__str__,function,53,1,2,0,0
__init__,function,68,2,1,0,0
__str__,function,71,1,1,0,0
__init__,function,82,3,1,0,0
__str__,function,86,1,1,0,0
_split_annotation_from_typer_annotations,function,94,1,3,0,0
get_params_from_function,function,107,1,16,0,0
_sanitize_help_text,function,28,1,2,45,0
source_vars,function,41,1,1,0,0
get_completion_args,function,48,1,2,0,0
format_completion,function,60,2,1,0,0
complete,function,66,1,2,0,0
source_vars,function,77,1,1,0,0
get_completion_args,function,84,1,3,0,0
format_completion,function,95,2,2,0,0
escape,function,96,1,1,0,0
complete,function,113,1,3,0,0
source_vars,function,128,1,1,0,0
get_completion_args,function,135,1,3,0,0
format_completion,function,146,2,2,0,0
complete,function,159,1,6,0,0
source_vars,function,181,1,1,0,0
get_completion_args,function,188,1,1,0,0
format_completion,function,195,2,1,0,0
completion_init,function,199,0,1,0,0
get_completion_script,function,81,0,2,0,0
install_bash,function,97,0,4,0,0
install_zsh,function,123,0,4,0,0
install_fish,function,151,0,1,0,0
install_powershell,function,162,0,8,0,0
install,function,205,3,10,0,0
_get_shell_name,function,242,0,3,128,0
normalize_choice,function,10,3,4,0,0
is_union,function,21,1,1,0,0
is_union,function,27,1,2,0,0
is_none_type,function,52,1,3,0,0
is_callable_type,function,59,1,2,0,0
is_literal_type,function,63,1,1,0,0
literal_values,function,69,1,1,0,0
all_literal_values,function,73,1,4,190,0
shell_complete,function,7,3,1,0,0
main,function,15,1,1,10,1
complete,function,6,3,1,0,0
main,function,18,1,1,0,1
complete,function,6,3,1,0,0
main,function,18,1,1,0,1
main,function,7,3,1,10,1
main,function,9,0,2,0,1
main,function,7,1,1,0,1
main,function,7,1,1,0,1
broken,function,15,1,1,0,1
main,function,10,1,1,0,1
main,function,11,1,1,0,1
test_script_help,function,5,0,2,0,0
test_script,function,24,0,2,0,0
test_script_completion_run,function,6,0,2,0,0
test_doc,function,7,0,3,0,0
test_doc_output,function,31,1,3,0,0
test_doc_title_output,function,59,1,3,0,0
test_doc_no_rich,function,89,0,3,0,0
test_doc_not_existing,function,113,0,2,0,0
test_doc_no_typer,function,132,0,2,0,0
test_doc_file_not_existing,function,151,0,2,0,0
test_doc_html_output,function,170,1,3,0,0
test_script_help,function,5,0,2,0,0
test_script_help,function,5,0,4,0,0
test_script_top,function,26,0,2,0,0
test_script_hello,function,45,0,2,0,0
test_script_bye,function,64,0,2,0,0
test_script_sub_command_help,function,83,0,2,0,0
test_script_sub_sub_command,function,103,0,2,0,0
test_script_help,function,5,0,2,0,0
test_script_hello,function,24,0,2,0,0
test_script_bye,function,43,0,2,0,0
test_script,function,5,0,2,0,0
test_script_help,function,5,0,2,0,0
test_not_python,function,23,0,2,0,0
test_script_help,function,5,0,3,0,0
test_script_app_non_existent,function,25,0,2,0,0
test_script_sub,function,46,0,3,0,0
test_script_top,function,67,0,2,0,0
test_script_sub_hello,function,86,0,2,0,0
test_script_sub_bye,function,106,0,2,0,0
test_script_help,function,5,0,3,0,0
test_script_sub,function,25,0,3,0,0
test_script_top,function,46,0,2,0,0
test_script_sub_hello,function,65,0,2,0,0
test_script_sub_bye,function,85,0,2,0,0
test_script_help,function,5,0,4,0,0
test_script,function,28,0,2,0,0
test_help,function,5,0,2,0,0
test_script,function,24,0,2,0,0
test_script_func_non_existent,function,44,0,2,0,0
test_script_func_not_function,function,66,0,2,0,0
test_script_func,function,88,0,3,0,0
test_not_python,function,5,0,2,0,0
test_script_hello,function,5,0,2,0,0
test_script_hello_name,function,24,0,2,0,0
test_script_hello_name_formal,function,45,0,2,0,0
test_script_bye,function,67,0,2,0,0
test_script_bye_friend,function,86,0,2,0,0
test_script_help,function,106,0,2,0,0
test_not_python,function,124,0,2,0,0
test_script_completion_run,function,6,0,2,0,0
test_script_help,function,5,0,5,0,0
test_script_help,function,5,0,2,0,0
_complete,function,10,1,3,0,0
image,function,20,1,1,0,1
create,function,7,1,1,47,1
delete,function,15,1,1,37,1
delete_all,function,23,0,1,44,1
f,function,9,1,1,0,1
test_show_completion,function,13,0,2,0,2
test_install_completion,function,30,0,6,0,3
test_completion_invalid_instruction,function,53,0,3,0,0
test_completion_source_bash,function,67,0,2,0,0
test_completion_source_invalid_shell,function,83,0,2,0,0
test_completion_source_invalid_instruction,function,96,0,2,0,0
test_completion_source_zsh,function,109,0,2,0,0
test_completion_source_fish,function,122,0,2,0,0
test_completion_source_powershell,function,135,0,2,0,0
test_completion_source_pwsh,function,151,0,2,0,0
get_mod,function,18,1,1,0,1
test_completion_complete_subcommand_bash,function,24,1,2,0,0
test_completion_complete_subcommand_bash_invalid,function,41,1,2,0,0
test_completion_complete_subcommand_zsh,function,57,1,2,0,0
test_completion_complete_subcommand_zsh_files,function,75,1,2,0,0
test_completion_complete_subcommand_fish,function,90,1,2,0,0
test_completion_complete_subcommand_fish_should_complete,function,109,1,2,0,0
test_completion_complete_subcommand_fish_should_complete_no,function,125,1,2,0,0
test_completion_complete_subcommand_powershell,function,141,1,2,0,0
test_completion_complete_subcommand_pwsh,function,158,1,2,0,0
test_completion_complete_subcommand_noshell,function,175,1,2,0,0
test_completion_complete_subcommand_zsh,function,8,0,3,0,0
test_completion_complete_subcommand_fish,function,23,0,2,0,0
test_completion_complete_subcommand_powershell,function,38,0,2,0,0
test_completion_complete_subcommand_pwsh,function,52,0,2,0,0
test_script,function,8,0,7,0,0
test_completion_complete_subcommand_bash,function,34,0,2,0,0
test_completion_complete_subcommand_zsh,function,49,0,2,0,0
test_completion_complete_subcommand_fish,function,66,0,2,0,0
test_completion_complete_subcommand_powershell,function,84,0,2,0,0
test_completion_complete_subcommand_pwsh,function,100,0,2,0,0
test_completion_install_no_shell,function,19,0,2,0,1
test_completion_install_bash,function,33,0,8,0,1
test_completion_install_zsh,function,73,0,8,0,1
test_completion_install_fish,function,113,0,4,0,1
test_completion_install_powershell,function,143,0,8,0,1
test_script,function,8,0,3,0,0
test_completion_colon_bash_all,function,18,0,4,0,0
test_completion_colon_bash_partial,function,35,0,4,0,0
test_completion_colon_bash_single,function,52,0,4,0,0
test_completion_colon_zsh_all,function,69,0,4,0,0
test_completion_colon_zsh_partial,function,85,0,4,0,0
test_completion_colon_zsh_single,function,101,0,4,0,0
test_completion_colon_powershell_all,function,117,0,4,0,0
test_completion_colon_powershell_partial,function,134,0,4,0,0
test_completion_colon_powershell_single,function,151,0,4,0,0
test_completion_colon_pwsh_all,function,168,0,4,0,0
test_completion_colon_pwsh_partial,function,185,0,4,0,0
test_completion_colon_pwsh_single,function,202,0,4,0,0
test_script,function,8,0,3,0,0
test_completion_path_bash,function,18,0,2,0,0
